"rk","name","pos","age","team_abbr","g","gs","mp","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","e_fg_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","id","player_image","team_logo"
1,"Precious Achiuwa","C",24,"TOR",14,0,254,41,95,0.432,6,23,0.261,35,72,0.486,0.463,14,25,0.56,32,54,86,28,8,6,18,25,102,"4431679","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4431679.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
2,"Bam Adebayo","C",26,"MIA",16,16,537,132,253,0.522,1,3,0.333,131,250,0.524,0.524,91,112,0.813,33,126,159,62,19,16,39,39,356,"4066261","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066261.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mia.png"
3,"Ochai Agbaji","SG",23,"UTAH",20,8,402,44,96,0.458,23,59,0.39,21,37,0.568,0.578,4,6,0.667,18,36,54,22,12,12,15,29,115,"4397018","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397018.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/utah.png"
4,"Santi Aldama","PF",23,"MEM",13,4,354,72,159,0.453,23,74,0.311,49,85,0.576,0.525,14,23,0.609,19,63,82,25,10,9,16,24,181,"4593125","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4593125.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
5,"Nickeil Alexander-Walker","SG",25,"MIN",19,8,447,48,117,0.41,26,75,0.347,22,42,0.524,0.521,5,11,0.455,8,33,41,51,18,14,20,37,127,"4278039","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278039.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
6,"Grayson Allen","SG",28,"PHO",19,19,629,78,162,0.481,44,94,0.468,34,68,0.5,0.617,34,38,0.895,14,72,86,55,13,8,28,44,234,"3135045","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3135045.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
7,"Jarrett Allen","C",25,"CLE",15,15,441,83,120,0.692,0,0,NA,83,120,0.692,0.692,41,55,0.745,48,73,121,35,8,17,26,40,207,"4066328","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066328.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cle.png"
8,"Jose Alvarado","PG",25,"NO",8,0,131,22,51,0.431,11,27,0.407,11,24,0.458,0.539,3,8,0.375,4,13,17,16,9,3,8,10,58,"4277869","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277869.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/no.png"
9,"Kyle Anderson","PF",30,"MIN",19,0,459,53,106,0.5,2,12,0.167,51,94,0.543,0.509,30,44,0.682,15,57,72,76,16,15,31,28,138,"2993874","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2993874.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png"
10,"Giannis Antetokounmpo","PF",29,"MIL",20,20,686,234,383,0.611,9,36,0.25,225,347,0.648,0.623,127,197,0.645,56,157,213,104,29,26,83,62,604,"3032977","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3032977.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
11,"Thanasis Antetokounmpo","PF",31,"MIL",8,0,47,4,9,0.444,0,0,NA,4,9,0.444,0.444,0,0,NA,3,2,5,4,2,1,4,7,8,"3102533","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/3102533.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mil.png"
12,"Cole Anthony","PG",23,"ORL",20,0,515,98,222,0.441,29,78,0.372,69,144,0.479,0.507,79,93,0.849,23,69,92,71,15,10,41,60,304,"4432809","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432809.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
13,"OG Anunoby","SF",26,"TOR",16,16,509,88,190,0.463,40,100,0.4,48,90,0.533,0.568,17,29,0.586,17,49,66,34,18,12,28,38,233,NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/NA.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/tor.png"
14,"Ryan Arcidiacono","PG",29,"NYK",6,0,13,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,3,3,1,1,0,0,0,0,"2991047","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/2991047.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/nyk.png"
15,"Deni Avdija","SF",23,"WAS",19,19,506,92,175,0.526,20,52,0.385,72,123,0.585,0.583,29,35,0.829,25,75,100,70,17,5,27,44,233,"4683021","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4683021.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
16,"Deandre Ayton","C",25,"POR",18,18,575,108,184,0.587,0,0,NA,108,184,0.587,0.587,17,21,0.81,56,138,194,28,22,13,35,46,233,"4278129","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4278129.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/por.png"
17,"Udoka Azubuike","C",24,"PHO",2,0,9,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,4,4,0,0,0,0,1,2,"4066299","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066299.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/pho.png"
18,"Marvin Bagley III","C",24,"DET",19,6,343,73,127,0.575,1,5,0.2,72,122,0.59,0.579,40,46,0.87,35,56,91,23,2,12,22,29,187,"4277848","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277848.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/det.png"
19,"Amari Bailey","PG",19,"CHA",1,0,3,1,3,0.333,0,0,NA,1,3,0.333,0.333,0,0,NA,2,0,2,0,0,0,0,0,2,"5105638","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/5105638.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
20,"Patrick Baldwin Jr.","SF",21,"WAS",3,0,11,0,2,0,0,1,0,0,1,0,0,0,0,NA,0,1,1,1,0,0,0,1,0,"4433246","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4433246.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/was.png"
21,"LaMelo Ball","PG",22,"CHA",15,15,501,132,298,0.443,52,134,0.388,80,164,0.488,0.53,54,63,0.857,23,59,82,123,21,4,59,52,370,"4432816","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432816.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/cha.png"
22,"Mo Bamba","C",25,"PHI",9,0,57,13,24,0.542,3,7,0.429,10,17,0.588,0.604,6,8,0.75,12,9,21,1,1,7,6,7,35,"4277919","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4277919.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/phi.png"
23,"Paolo Banchero","PF",21,"ORL",20,20,668,141,293,0.481,27,61,0.443,114,232,0.491,0.527,81,121,0.669,27,110,137,97,21,11,62,46,390,"4432573","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4432573.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/orl.png"
24,"Desmond Bane","SG",25,"MEM",19,19,646,164,362,0.453,62,168,0.369,102,194,0.526,0.539,62,73,0.849,18,66,84,99,26,13,52,59,452,"4066320","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4066320.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/mem.png"
25,"Dalano Banton","PG",24,"BOS",10,1,91,13,27,0.481,1,7,0.143,12,20,0.6,0.5,5,6,0.833,10,15,25,5,2,2,5,12,32,"4397885","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4397885.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/bos.png"
26,"Dominick Barlow","PF",20,"SAS",7,0,35,3,7,0.429,0,0,NA,3,7,0.429,0.429,2,4,0.5,0,5,5,0,1,0,0,2,8,"4870562","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/4870562.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sas.png"
27,"Harrison Barnes","PF",31,"SAC",19,19,600,76,159,0.478,34,90,0.378,42,69,0.609,0.585,39,47,0.83,15,47,62,28,15,3,16,21,225,"6578","https://a.espncdn.com/combiner/i?img=/i/headshots/nba/players/full/6578.png","https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/sac.png"
